,Id,Class/Group,Subject,Absence
0,214366,Web and Soft Electives,Big Data,100%
1,680092,Web and Soft Electives,Angular,100%
2,906441,Web and Soft Electives,Angular,100%
3,432875,Web and Soft Electives,Angular,100%
4,146518,Web and Soft Electives,Angular,100%
5,864755,Web and Soft Electives,Angular,100%
6,464972,Web and Soft Electives,Angular,100%
7,728877,Web and Soft Electives,Angular,100%
8,419492,Web and Soft Electives,Angular,100%
9,205702,Web and Soft Electives,Angular,100%
10,379715,SD18i,DLS,100%
11,668900,SD18i,DLS,100%
12,695323,SD18i,DLS,100%
13,196127,SD18i,DLS,100%
14,879153,SD18i,DLS,100%
15,890965,SD18i,DLS,100%
16,577358,SD18i,DLS,100%
17,247407,SD18i,DLS,100%
18,184619,SD18i,DLS,100%
19,873190,SD18i,DLS,100%
20,268525,SD18i,DLS,100%
21,510605,Web and Soft Electives,Angular,100%
22,296184,ITS19w1,Intro til IT Sikkerhed,100%
23,215571,ITS18a,Security for mobile devices,100%
24,542155,ITS18a,Security for mobile devices,100%
25,825970,ITS18a,Security for mobile devices,100%
26,105304,Web and Soft Electives,Angular,80%
27,543558,ITS19w1,Intro til IT Sikkerhed,72.22%
28,708074,SD19w1,Databases,100%
29,613200,ITS18a,Security for mobile devices,85.71%
30,615329,ITS18a,Security for mobile devices,85.71%
31,699025,Web and Soft Electives,Big Data,63.64%
32,751804,Web19w1,Web Development,55.56%
33,328555,SD19w1,Databases,50%
34,723459,ITS18a,Security for mobile devices,100%
35,396493,ITS19w1,Intro til IT Sikkerhed,61.11%
36,635774,SD18i,DLS,68.42%
37,646053,SD18i,DLS,68.42%
38,879390,ITS19w1,Intro til IT Sikkerhed,55.56%
39,666991,Web and Soft Electives,Big Data,18.18%
40,397345,ITS19w1,Intro til IT Sikkerhed,61.11%
41,179935,ITS19w1,Intro til IT Sikkerhed,61.11%
42,263323,SD19w1,Databases,50%
43,135632,ITS19w1,Intro til IT Sikkerhed,88.89%
44,858209,ITS18a,Security for mobile devices,85.71%
45,196056,ITS18a,Security for mobile devices,85.71%
46,666120,ITS19w1,Intro til IT Sikkerhed,61.11%
47,857723,SD18i,DLS,73.68%
48,371558,Web and Soft Electives,Angular,60%
49,694322,Web and Soft Electives,Angular,100%
50,437341,Web and Soft Electives,Angular,100%
51,585127,ITS19w1,Intro til IT Sikkerhed,61.11%
52,280032,ITS18a,Security for mobile devices,92.86%
53,104328,ITS19w1,Intro til IT Sikkerhed,55.56%
54,530097,Web19w1,Web Development,22.22%
55,541960,Web and Soft Electives,Angular,60%
56,811371,Web and Soft Electives,Angular,100%
57,111019,Web and Soft Electives,Angular,100%
58,699958,Web and Soft Electives,Big Data,22.73%
59,672098,SD18i,DLS,71.05%
60,153731,Web19w1,Web Development,33.33%
61,622342,ITS19w1,Intro til IT Sikkerhed,66.67%
62,153094,SD18i,DLS,55.26%
63,889786,Web and Soft Electives,Web Security,38.89%
64,581509,Web and Soft Electives,Quantum Computing,80%
65,952612,Web and Soft Electives,Angular,60%
66,546140,Web19w1,Web Development,66.67%
67,614503,Web19w1,Web Development,11.11%
68,443095,Web19w1,Web Development,22.22%
69,703392,Web19w1,Web Development,11.11%
70,207562,Web19w1,Web Development,22.22%
71,272447,ITS18a,Security for mobile devices,64.29%
72,514653,Web and Soft Electives,Angular,60%
73,107766,SD19w1,Databases,50%
74,540365,SD18i,DLS,81.58%
75,347670,Web and Soft Electives,Angular,33.33%
76,628523,Web and Soft Electives,Angular,80%
77,469197,Web and Soft Electives,Angular,80%
78,579153,ITS18a,Security for mobile devices,35.71%
79,212186,SD19w1,Databases,100%
80,684508,Web and Soft Electives,Angular,53.33%
81,301757,ITS18a,Security for mobile devices,64.29%
82,523463,SD19w1,Databases,100%
83,917359,Web and Soft Electives,Angular,30%
84,799408,SD18i,DLS,78.95%
85,587068,ITS19w1,Intro til IT Sikkerhed,83.33%
86,636158,Web19w1,Web Development,0%
87,305265,Web19w1,Web Development,0%
88,878517,Web19w1,Web Development,0%
89,774783,Web19w1,Web Development,0%
90,622904,Web19w1,Web Development,0%
91,573377,Web and Soft Electives,Angular,70%
92,822944,SD18i,DLS,23.68%
93,920332,Web19w1,Web Development,55.56%
94,749091,ITS18a,Security for mobile devices,57.14%
95,994560,ITS18a,Security for mobile devices,14.29%
96,796984,SD18i,DLS,36.84%
97,458246,Web and Soft Electives,Angular,60%
98,470386,Web and Soft Electives,Angular,40%
99,920684,Web and Soft Electives,Angular,60%
100,643834,Web and Soft Electives,Angular,60%
101,334312,SD19w1,Databases,50%
102,147899,ITS19w1,Intro til IT Sikkerhed,27.78%
103,321954,ITS18a,Security for mobile devices,28.57%
104,463299,Web and Soft Electives,Big Data,22.73%
105,507209,Web and Soft Electives,Software Design Patterns,27.78%
106,679854,Web and Soft Electives,Quantum Computing,0%
107,236930,Web and Soft Electives,Angular,33.33%
108,331160,SD18i,DLS,60.53%
109,828212,Web and Soft Electives,Web Security,2.78%
110,709072,SD19w1,Databases,100%
111,298679,ITS18a,Security for mobile devices,42.86%
112,598019,SD18i,DLS,52.63%
113,882972,Web and Soft Electives,Angular,20%
114,637923,ITS19w1,Intro til IT Sikkerhed,27.78%
115,676326,ITS19w1,Intro til IT Sikkerhed,25%
116,866202,SD18i,DLS,31.58%
117,128523,SD18i,DLS,63.16%
118,678695,Web and Soft Electives,Software Design Patterns,16.67%
119,285846,Web19w1,Web Development,22.22%
120,359839,Web19w1,Web Development,11.11%
121,234843,Web and Soft Electives,Angular,60%
122,652072,Web and Soft Electives,Angular,20%
123,534870,Web and Soft Electives,Angular,60%
124,199496,Web and Soft Electives,Angular,40%
125,745405,Web and Soft Electives,Software Design Patterns,26.32%
126,115992,SD18i,DLS,55.26%
127,547214,Web and Soft Electives,Software Design Patterns,24.07%
128,912277,Web and Soft Electives,Quantum Computing,0%
129,666744,Web and Soft Electives,Quantum Computing,0%
130,287874,ITS19w1,Intro til IT Sikkerhed,33.33%
131,920791,SD18i,DLS,47.37%
132,173685,SD18i,DLS,5.26%
133,212503,SD19w1,Databases,50%
134,941580,ITS18a,Security for mobile devices,0%
135,647586,ITS18a,Security for mobile devices,42.86%
136,185214,Web19w1,Web Development,0%
137,614430,Web19w1,Web Development,0%
138,656669,Web19w1,Web Development,0%
139,638449,Web19w1,Web Development,0%
140,659770,Web19w1,Web Development,0%
141,714980,SD19w1,Databases,0%
142,357089,Web and Soft Electives,Angular,40%
143,873253,SD18i,DLS,13.16%
144,658419,ITS18a,Security for mobile devices,14.29%
145,110311,Web and Soft Electives,Software Design Patterns,0%
146,364504,SD18i,DLS,5.26%
147,750224,Web and Soft Electives,Angular,36.67%
148,769577,Web and Soft Electives,Angular,40%
149,730001,Web and Soft Electives,Angular,40%
150,140798,Web and Soft Electives,Quantum Computing,0%
151,162461,Web and Soft Electives,Quantum Computing,0%
152,255002,SD19w1,Databases,0%
153,675805,SD19w1,Databases,50%
154,648071,ITS18a,Security for mobile devices,21.43%
155,189551,SD19w1,Databases,50%
156,861602,Web and Soft Electives,Quantum Computing,0%
157,381976,Web and Soft Electives,Quantum Computing,0%
158,448115,Web and Soft Electives,Quantum Computing,0%
159,423691,Web and Soft Electives,Quantum Computing,0%
160,435434,SD19w1,Databases,0%
161,730523,SD19w1,Databases,50%
162,493985,SD19w1,Databases,0%
163,415804,SD19w1,Databases,0%
164,714716,ITS19w1,Intro til IT Sikkerhed,26.67%
165,840169,Web and Soft Electives,Data Science,12.5%
166,467830,SD18i,DLS,0%
167,220970,Web and Soft Electives,Software Design Patterns,0%
168,491124,Web and Soft Electives,Software Design Patterns,0%
169,795513,SD18i,DLS,23.08%
170,446063,ITS18a,Security for mobile devices,20%
171,200123,SD19w1,Databases,0%
172,783966,SD19w1,Databases,0%
173,580861,SD19w1,Databases,50%
174,642754,SD19w1,Databases,50%
175,293145,SD19w1,Databases,50%
176,809897,SD19w1,Databases,0%
177,395073,SD18i,DLS,10.53%
178,175927,ITS18a,Security for mobile devices,14.29%
179,329450,ITS19w1,Intro til IT Sikkerhed,5.56%
180,663094,Web and Soft Electives,Angular,20%
181,287195,Web and Soft Electives,Angular,20%
182,729082,Web and Soft Electives,Angular,20%
183,893970,Web and Soft Electives,Angular,20%
184,642964,Web and Soft Electives,Big Data,0%
185,707742,SD19w1,Databases,0%
186,541278,Web and Soft Electives,Quantum Computing,0%
187,690648,ITS19w1,Intro til IT Sikkerhed,0%
188,813996,SD19w1,Databases,0%
189,351020,SD19w1,Databases,50%
190,828049,SD19w1,Databases,0%
191,863970,SD18i,DLS,15.79%
192,908589,SD18i,DLS,15.79%
193,839114,Web19w1,Web Development,22.22%
194,480068,SD19w1,Databases,0%
195,130119,ITS18a,Security for mobile devices,28.57%
196,400259,Web and Soft Electives,Software Design Patterns,0%
197,769983,Web and Soft Electives,Software Design Patterns,0%
198,460452,SD18i,DLS,13.16%
199,643901,SD19w1,Databases,50%
200,296996,SD19w1,Databases,50%
201,610938,SD19w1,Databases,0%
202,295223,SD18i,DLS,10.53%
203,330334,Web19w1,Web Development,11.11%
204,664331,Web19w1,Web Development,11.11%
205,710120,ITS18a,Security for mobile devices,14.29%
206,214327,ITS18a,Security for mobile devices,14.29%
207,239722,ITS18a,Security for mobile devices,14.29%
208,688021,ITS18a,Security for mobile devices,14.29%
209,876210,SD19w1,Databases,0%
210,662365,Web and Soft Electives,Angular,0%
211,541705,Web and Soft Electives,Angular,0%
212,189355,Web and Soft Electives,Angular,0%
213,816107,Web and Soft Electives,Angular,0%
214,586771,Web and Soft Electives,Angular,0%
215,491038,SD18i,DLS,0%
216,700477,ITS18a,Security for mobile devices,0%
217,223338,ITS18a,Security for mobile devices,0%
218,293438,ITS19w1,Intro til IT Sikkerhed,0%
219,803561,Web19w1,Web Development,0%
220,976720,Web19w1,Web Development,0%
221,172012,Web19w1,Web Development,0%
222,491703,Web19w1,Web Development,0%
223,532264,Web19w1,Web Development,0%
224,680092,Web and Soft Electives,Web Security,100%
225,906441,Web and Soft Electives,Web Security,100%
226,432875,Web and Soft Electives,Web Security,100%
227,146518,Web and Soft Electives,Web Security,100%
228,864755,Web and Soft Electives,Web Security,100%
229,464972,Web and Soft Electives,Web Security,100%
230,728877,Web and Soft Electives,Web Security,100%
231,419492,Web and Soft Electives,Web Security,100%
232,205702,Web and Soft Electives,Web Security,100%
233,379715,SD18i,System Integration,100%
234,668900,SD18i,System Integration,100%
235,695323,SD18i,System Integration,100%
236,196127,SD18i,System Integration,100%
237,879153,SD18i,System Integration,100%
238,890965,SD18i,System Integration,100%
239,577358,SD18i,System Integration,100%
240,247407,SD18i,System Integration,100%
241,184619,SD18i,System Integration,100%
242,873190,SD18i,System Integration,100%
243,268525,SD18i,System Integration,100%
244,510605,Web and Soft Electives,Web Security,100%
245,296184,ITS19w1,Net. and Com. security,100%
246,215571,ITS18a,IT Governance 2,0%
247,542155,ITS18a,IT Governance 2,0%
248,825970,ITS18a,IT Governance 2,0%
249,105304,Web and Soft Electives,Web Security,100%
250,543558,ITS19w1,Net. and Com. security,100%
251,708074,SD19w1,Test,79.31%
252,613200,ITS18a,IT Governance 2,0%
253,615329,ITS18a,IT Governance 2,0%
254,699025,Web and Soft Electives,Test,100%
255,751804,Web19w1,Interface Design,100%
256,328555,SD19w1,Test,79.31%
257,723459,ITS18a,IT Governance 2,0%
258,396493,ITS19w1,Net. and Com. security,87.5%
259,635774,SD18i,System Integration,100%
260,646053,SD18i,System Integration,0%
261,879390,ITS19w1,Net. and Com. security,75%
262,666991,Web and Soft Electives,Databases,50%
263,397345,ITS19w1,Net. and Com. security,100%
264,179935,ITS19w1,Net. and Com. security,87.5%
265,263323,SD19w1,Test,68.97%
266,135632,ITS19w1,Net. and Com. security,50%
267,858209,ITS18a,IT Governance 2,0%
268,196056,ITS18a,IT Governance 2,0%
269,666120,ITS19w1,Net. and Com. security,75%
270,857723,SD18i,System Integration,100%
271,371558,Web and Soft Electives,Web Security,66.67%
272,694322,Web and Soft Electives,Web Security,33.33%
273,437341,Web and Soft Electives,Web Security,33.33%
274,585127,ITS19w1,Net. and Com. security,75%
275,280032,ITS18a,IT Governance 2,0%
276,104328,ITS19w1,Net. and Com. security,87.5%
277,530097,Web19w1,Interface Design,72.22%
278,541960,Web and Soft Electives,Web Security,50%
279,811371,Web and Soft Electives,Web Security,16.67%
280,111019,Web and Soft Electives,Web Security,16.67%
281,699958,Web and Soft Electives,Databases,0%
282,672098,SD18i,System Integration,0%
283,153731,Web19w1,Interface Design,66.67%
284,622342,ITS19w1,Net. and Com. security,37.5%
285,153094,SD18i,System Integration,0%
286,889786,Web and Soft Electives,Databases,50%
287,581509,Web and Soft Electives,Databases,0%
288,952612,Web and Soft Electives,Web Security,38.89%
289,546140,Web19w1,Interface Design,38.89%
290,614503,Web19w1,Interface Design,66.67%
291,443095,Web19w1,Interface Design,66.67%
292,703392,Web19w1,Interface Design,66.67%
293,207562,Web19w1,Interface Design,66.67%
294,272447,ITS18a,IT Governance 2,0%
295,514653,Web and Soft Electives,Web Security,36.11%
296,107766,SD19w1,Test,37.93%
297,540365,SD18i,System Integration,0%
298,347670,Web and Soft Electives,Web Security,55.56%
299,628523,Web and Soft Electives,Web Security,16.67%
300,469197,Web and Soft Electives,Web Security,16.67%
301,579153,ITS18a,IT Governance 2,0%
302,212186,SD19w1,Test,41.38%
303,684508,Web and Soft Electives,Web Security,36.11%
304,301757,ITS18a,IT Governance 2,0%
305,523463,SD19w1,Test,31.03%
306,917359,Web and Soft Electives,Web Security,52.78%
307,799408,SD18i,System Integration,0%
308,587068,ITS19w1,Net. and Com. security,25%
309,636158,Web19w1,Interface Design,66.67%
310,305265,Web19w1,Interface Design,66.67%
311,878517,Web19w1,Interface Design,66.67%
312,774783,Web19w1,Interface Design,66.67%
313,622904,Web19w1,Interface Design,66.67%
